Date,Dominos Pizza
3/03/2015,102.83
3/04/2015,103.28
3/05/2015,103.38
3/06/2015,100.87
3/09/2015,101.36
3/10/2015,99.03
3/11/2015,98.16
3/12/2015,100.72
3/13/2015,99.72
3/16/2015,101.53
3/17/2015,102.15
3/18/2015,102.17
3/19/2015,103.77
3/20/2015,104.63
3/23/2015,104.02
3/24/2015,104.09
3/25/2015,101.11
3/26/2015,100.54
3/27/2015,101.05
3/30/2015,102.55
3/31/2015,100.55
4/01/2015,100.5
4/02/2015,100.99
4/06/2015,100.81
4/07/2015,99.39
4/08/2015,100.29
4/09/2015,99.2
4/10/2015,100.5
4/13/2015,100.2
4/14/2015,98.49
4/15/2015,98.36
4/16/2015,100.43
4/17/2015,99.24
4/20/2015,99.66
4/21/2015,99.4
4/22/2015,99.8
4/23/2015,109.23
4/24/2015,113.96
4/27/2015,110.25
4/28/2015,111.79
4/29/2015,109.39
4/30/2015,107.85
5/01/2015,108.34
5/04/2015,107.93
5/05/2015,105.71
5/06/2015,106.13
5/07/2015,107.93
5/08/2015,109.13
5/11/2015,109.84
5/12/2015,109.06
5/13/2015,108.68
5/14/2015,109.91
5/15/2015,110.34
5/18/2015,111.09
5/19/2015,110.55
5/20/2015,110.41
5/21/2015,110.07
5/22/2015,109.03
5/26/2015,108.56
5/27/2015,108.65
5/28/2015,109.21
5/29/2015,108.66
6/01/2015,109.05
6/02/2015,108.87
6/03/2015,108.99
6/04/2015,109.03
6/05/2015,110
6/08/2015,109.87
6/09/2015,110.43
6/10/2015,112.39
6/11/2015,111.93
6/12/2015,112.29
6/15/2015,110.81
6/16/2015,110.76
6/17/2015,110.92
6/18/2015,112.57
6/19/2015,111.91
6/22/2015,113.86
6/23/2015,113.62
6/24/2015,111.64
6/25/2015,111.72
6/26/2015,114.9
6/29/2015,114
6/30/2015,113.4
7/01/2015,114.55
7/02/2015,113.88
7/06/2015,113.13
7/07/2015,113.42
7/08/2015,113.24
7/09/2015,113.69
7/10/2015,115.92
7/13/2015,119.43
7/14/2015,118.79
7/15/2015,118.54
7/16/2015,115.57
7/17/2015,110.04
7/20/2015,111.04
7/21/2015,111.37
7/22/2015,112.31
7/23/2015,111.65
7/24/2015,110.96
7/27/2015,111.31
7/28/2015,111.77
7/29/2015,113.51
7/30/2015,113.84
7/31/2015,113.84
8/03/2015,114.27
8/04/2015,115.23
8/05/2015,114.4
8/06/2015,111.84
8/07/2015,113.43
8/10/2015,113.14
8/11/2015,113.49
8/12/2015,111.88
8/13/2015,114.2
8/14/2015,114.17
8/17/2015,114.99
8/18/2015,112.9
8/19/2015,110.53
8/20/2015,107.66
8/21/2015,104.48
8/24/2015,101.78
8/25/2015,105.02
8/26/2015,106.3
8/27/2015,107.8
8/28/2015,108.41
8/31/2015,105.94
9/01/2015,103.85
9/02/2015,105.18
9/03/2015,105.15
9/04/2015,105.5
9/08/2015,109
9/09/2015,108.18
9/10/2015,107.93
9/11/2015,110.22
9/14/2015,110.29
9/15/2015,111.82
9/16/2015,111.62
9/17/2015,112.6
9/18/2015,111.68
9/21/2015,111.03
9/22/2015,110.87
9/23/2015,110.97
9/24/2015,110.29
9/25/2015,112.95
9/28/2015,108.54
9/29/2015,105.87
9/30/2015,107.91
10/01/2015,105.33
10/02/2015,106.88
10/05/2015,108.35
10/06/2015,107.26
10/07/2015,108.03
10/08/2015,102.64
10/09/2015,105.38
10/12/2015,106.08
10/13/2015,106.17
10/14/2015,104.37
10/15/2015,105.86
10/16/2015,106.22
10/19/2015,107.25
10/20/2015,106.19
10/21/2015,103.46
10/22/2015,103.96
10/23/2015,104.1
10/26/2015,105.81
10/27/2015,104.96
10/28/2015,109.71
10/29/2015,109.4
10/30/2015,106.67
11/02/2015,108.75
11/03/2015,107.17
11/04/2015,105.05
11/05/2015,104.11
11/06/2015,104.44
11/09/2015,103.04
11/10/2015,104.23
11/11/2015,105.21
11/12/2015,102.89
11/13/2015,101.62
11/16/2015,103.49
11/17/2015,102.24
11/18/2015,104.07
11/19/2015,104.52
11/20/2015,105.02
11/23/2015,107.71
11/24/2015,107.44
11/25/2015,109.15
11/27/2015,108.65
11/30/2015,107.47
12/01/2015,108.86
12/02/2015,108.8
12/03/2015,107.44
12/04/2015,109.83
12/07/2015,110.39
12/08/2015,109.94
12/09/2015,109.1
12/10/2015,109.34
12/11/2015,108.64
12/14/2015,109.38
12/15/2015,109.93
12/16/2015,109.22
12/17/2015,109.37
12/18/2015,108.84
12/21/2015,109.73
12/22/2015,109.41
12/23/2015,109.48
12/24/2015,109.54
12/28/2015,110.13
12/29/2015,112
12/30/2015,111.51
12/31/2015,111.25
1/04/2016,109.23
1/05/2016,109.93
1/06/2016,109.77
1/07/2016,106.75
1/08/2016,108.97
1/11/2016,106.22
1/12/2016,109.76
1/13/2016,107.96
1/14/2016,107.14
1/15/2016,104.16
1/19/2016,104.92
1/20/2016,106.46
1/21/2016,107.71
1/22/2016,111.6
1/25/2016,110.73
1/26/2016,112.17
1/27/2016,111.06
1/28/2016,112.2
1/29/2016,113.93
2/01/2016,114.35
2/02/2016,113.75
2/03/2016,113.8
2/04/2016,114
2/05/2016,110.37
2/08/2016,108.16
2/09/2016,105.62
2/10/2016,107
2/11/2016,106.9
2/12/2016,109.5
2/16/2016,111.08
2/17/2016,112.95
2/18/2016,112.04
2/19/2016,112.87
2/22/2016,115.09
2/23/2016,117.62
2/24/2016,117.61
2/25/2016,132.9
2/26/2016,134.39
2/29/2016,133.04
3/01/2016,134.15
3/02/2016,133.06
3/03/2016,132.84
3/04/2016,132.99
3/07/2016,134.02
3/08/2016,134.24
3/09/2016,133.78
3/10/2016,133.01
3/11/2016,131.72
3/14/2016,132.65
3/15/2016,131.2
3/16/2016,131.85
3/17/2016,131.27
3/18/2016,130.81
3/21/2016,131.17
3/22/2016,130.73
3/23/2016,130.12
3/24/2016,128.74
3/28/2016,129.15
3/29/2016,130.09
3/30/2016,130.97
3/31/2016,131.86
4/01/2016,133.47
4/04/2016,133.36
4/05/2016,132.32
4/06/2016,135.94
4/07/2016,136.26
4/08/2016,137.05
4/11/2016,137.24
4/12/2016,136.74
4/13/2016,137.14
4/14/2016,137.27
4/15/2016,138.62
4/18/2016,138.65
4/19/2016,137.52
4/20/2016,140.01
4/21/2016,137.9
4/22/2016,132.41
4/25/2016,133.67
4/26/2016,133.81
4/27/2016,133.63
4/28/2016,120.47
4/29/2016,120.88
5/02/2016,120.37
5/03/2016,118.56
5/04/2016,119.02
5/05/2016,119.93
5/06/2016,119.31
5/09/2016,121.51
5/10/2016,122.22
5/11/2016,119.83
5/12/2016,121.46
5/13/2016,121.95
5/16/2016,123.17
5/17/2016,121.07
5/18/2016,121.13
5/19/2016,120.82
5/20/2016,123.06
5/23/2016,121.88
5/24/2016,122.52
5/25/2016,121.29
5/26/2016,123
5/27/2016,122.18
5/31/2016,120.88
6/01/2016,121.4
6/02/2016,123.25
6/03/2016,122.21
6/06/2016,124.36
6/07/2016,124.82
6/08/2016,126.39
6/09/2016,127.48
6/10/2016,126.25
6/13/2016,124.79
6/14/2016,126.36
6/15/2016,126.38
6/16/2016,126.95
6/17/2016,127.29
6/20/2016,127.49
6/21/2016,127.33
6/22/2016,125.32
6/23/2016,127.25
6/24/2016,124.97
6/27/2016,122.08
6/28/2016,124.53
6/29/2016,126.88
6/30/2016,131.38
7/01/2016,132.59
7/05/2016,133.93
7/06/2016,134.98
7/07/2016,133.86
7/08/2016,135.11
7/11/2016,136
7/12/2016,135.65
7/13/2016,135.42
7/14/2016,135.64
7/15/2016,135.7
7/18/2016,135.55
7/19/2016,135.55
7/20/2016,136.89
7/21/2016,144.66
7/22/2016,148.78
7/25/2016,147.69
7/26/2016,146.13
7/27/2016,147.23
7/28/2016,147.25
7/29/2016,147.3
8/01/2016,147.52
8/02/2016,145.45
8/03/2016,146.16
8/04/2016,146.5
8/05/2016,146.18
8/08/2016,144.7
8/09/2016,144.92
8/10/2016,145
8/11/2016,146.02
8/12/2016,146.13
8/15/2016,145.15
8/16/2016,143.97
8/17/2016,144.57
8/18/2016,147.13
8/19/2016,147.28
8/22/2016,150.07
8/23/2016,150.48
8/24/2016,149.82
8/25/2016,150.24
8/26/2016,148.35
8/29/2016,149.99
8/30/2016,149.43
8/31/2016,149.57
9/01/2016,149.01
9/02/2016,151
9/06/2016,150.18
9/07/2016,150.48
9/08/2016,149.24
9/09/2016,146.13
9/12/2016,150.21
9/13/2016,149.66
9/14/2016,150.3
9/15/2016,151.79
9/16/2016,150.03
9/19/2016,151.51
9/20/2016,151.94
9/21/2016,152.61
9/22/2016,154.08
9/23/2016,154.26
9/26/2016,153.49
9/27/2016,153.63
9/28/2016,152.78
9/29/2016,151.75
9/30/2016,151.85
10/03/2016,151.58
10/04/2016,151.47
10/05/2016,150.97
10/06/2016,151.13
10/07/2016,150.84
10/10/2016,153.19
10/11/2016,152.38
10/12/2016,152.24
