Date,MarketAxess Holdings
3/03/2015,80.27
3/04/2015,83.79
3/05/2015,86.01
3/06/2015,84.21
3/09/2015,85.27
3/10/2015,84.56
3/11/2015,85.71
3/12/2015,86
3/13/2015,85.5
3/16/2015,86.03
3/17/2015,86.67
3/18/2015,86.9
3/19/2015,87.31
3/20/2015,88.8
3/23/2015,86.93
3/24/2015,85.81
3/25/2015,83.09
3/26/2015,83.49
3/27/2015,83.98
3/30/2015,86.47
3/31/2015,82.9
4/01/2015,82.87
4/02/2015,84.52
4/06/2015,85.43
4/07/2015,86.01
4/08/2015,87.5
4/09/2015,87.27
4/10/2015,88.07
4/13/2015,88.15
4/14/2015,89.3
4/15/2015,88.57
4/16/2015,89.79
4/17/2015,87.31
4/20/2015,88.72
4/21/2015,90.01
4/22/2015,88.66
4/23/2015,88.7
4/24/2015,87.93
4/27/2015,87.84
4/28/2015,89.84
4/29/2015,89.06
4/30/2015,85.85
5/01/2015,84.96
5/04/2015,84.98
5/05/2015,83.3
5/06/2015,83.9
5/07/2015,85.02
5/08/2015,84.67
5/11/2015,86.07
5/12/2015,86.02
5/13/2015,86.07
5/14/2015,87.27
5/15/2015,87.49
5/18/2015,89.1
5/19/2015,88.68
5/20/2015,88.36
5/21/2015,88
5/22/2015,87.72
5/26/2015,86.56
5/27/2015,89.23
5/28/2015,89.02
5/29/2015,88.45
6/01/2015,88.96
6/02/2015,88.49
6/03/2015,87.89
6/04/2015,86.49
6/05/2015,86.65
6/08/2015,86.28
6/09/2015,85.39
6/10/2015,86.57
6/11/2015,86.68
6/12/2015,86.31
6/15/2015,86.99
6/16/2015,87.3
6/17/2015,88.71
6/18/2015,89.21
6/19/2015,91.51
6/22/2015,95.27
6/23/2015,96.2
6/24/2015,97.25
6/25/2015,97.34
6/26/2015,96.86
6/29/2015,92.32
6/30/2015,92.77
7/01/2015,94.76
7/02/2015,94.49
7/06/2015,96.87
7/07/2015,97.47
7/08/2015,97.78
7/09/2015,99.62
7/10/2015,103.28
7/13/2015,101.74
7/14/2015,100.91
7/15/2015,99.88
7/16/2015,101.5
7/17/2015,101.31
7/20/2015,100.94
7/21/2015,100.22
7/22/2015,97.95
7/23/2015,97.95
7/24/2015,96.54
7/27/2015,97.95
7/28/2015,97.66
7/29/2015,98.16
7/30/2015,97.07
7/31/2015,97.8
8/03/2015,97.92
8/04/2015,96.96
8/05/2015,99.25
8/06/2015,97.93
8/07/2015,97.57
8/10/2015,97.41
8/11/2015,96.16
8/12/2015,95.37
8/13/2015,94.54
8/14/2015,96.38
8/17/2015,97.53
8/18/2015,97.49
8/19/2015,98.06
8/20/2015,96.57
8/21/2015,93.96
8/24/2015,89.61
8/25/2015,88.91
8/26/2015,90.97
8/27/2015,91.83
8/28/2015,91.45
8/31/2015,90.42
9/01/2015,91.71
9/02/2015,96.63
9/03/2015,96.2
9/04/2015,94.85
9/08/2015,96.5
9/09/2015,96.62
9/10/2015,97.14
9/11/2015,97.35
9/14/2015,96.96
9/15/2015,97.3
9/16/2015,97.5
9/17/2015,96.5
9/18/2015,96.32
9/21/2015,97.04
9/22/2015,95.92
9/23/2015,98.99
9/24/2015,97.15
9/25/2015,99.52
9/28/2015,94.7
9/29/2015,90.82
9/30/2015,92.88
10/01/2015,94.02
10/02/2015,95.01
10/05/2015,96.93
10/06/2015,93.33
10/07/2015,94.84
10/08/2015,95.5
10/09/2015,94.7
10/12/2015,96.96
10/13/2015,94.56
10/14/2015,94.24
10/15/2015,96.5
10/16/2015,96.73
10/19/2015,95.94
10/20/2015,96.1
10/21/2015,86.86
10/22/2015,89.55
10/23/2015,90.01
10/26/2015,95.86
10/27/2015,95.26
10/28/2015,100.2
10/29/2015,102.89
10/30/2015,101.31
11/02/2015,99
11/03/2015,98.88
11/04/2015,98.55
11/05/2015,98.98
11/06/2015,99.82
11/09/2015,99.16
11/10/2015,99.97
11/11/2015,101.18
11/12/2015,100.01
11/13/2015,98.58
11/16/2015,100.75
11/17/2015,101.73
11/18/2015,103.61
11/19/2015,103.49
11/20/2015,106.68
11/23/2015,107.35
11/24/2015,105.2
11/25/2015,106
11/27/2015,107.66
11/30/2015,106.78
12/01/2015,106.7
12/02/2015,106.44
12/03/2015,109.5
12/04/2015,113.88
12/07/2015,113.56
12/08/2015,112.92
12/09/2015,109.51
12/10/2015,109.18
12/11/2015,106.65
12/14/2015,108.27
12/15/2015,108
12/16/2015,109.22
12/17/2015,107.92
12/18/2015,104.88
12/21/2015,105.62
12/22/2015,104.8
12/23/2015,104.76
12/24/2015,111.13
12/28/2015,112.7
12/29/2015,114.24
12/30/2015,112.96
12/31/2015,111.59
1/04/2016,109.28
1/05/2016,110.09
1/06/2016,108.76
1/07/2016,107.06
1/08/2016,105.73
1/11/2016,106.52
1/12/2016,106.28
1/13/2016,102.9
1/14/2016,104.44
1/15/2016,101.77
1/19/2016,102.38
1/20/2016,103.31
1/21/2016,101.91
1/22/2016,103.3
1/25/2016,101.97
